RunId,TimestampUtc,AlgorithmName,Size,Pattern,Repetitions,Seed,M,AvgTimeMs,AvgComparisons,AvgSwaps,StdDevTimeMs
7e3389a5-ebc0-4dce-ba91-ff3c1cec6314,2026-05-19T16:35:15.8493697Z,"QuickSort Híbrido Mediana-3",1000,ReverseSorted,10,42,1,0.1838,16848,6970,0.0009
99c6f8e2-d5b8-49cd-aed2-be68f937fe29,2026-05-19T16:35:18.0543737Z,"QuickSort Híbrido",1000,ReverseSorted,10,42,5,3.4081,500499,504,0.0345
c9980727-f8b8-4d6f-b5fd-3f020b2db062,2026-05-19T16:35:18.0561537Z,"QuickSort Híbrido Mediana-3",1000,ReverseSorted,10,42,5,0.177,16149,6648,0.0009
d7159ec7-24d3-4833-87a7-2cc885286772,2026-05-19T16:35:20.2769003Z,"QuickSort Híbrido",1000,ReverseSorted,10,42,15,3.4274,500499,584,0.064
753bf8c4-3e6f-4ac4-a258-e9d7acae7cfd,2026-05-19T16:35:20.2789049Z,"QuickSort Híbrido Mediana-3",1000,ReverseSorted,10,42,15,0.1993,17407,8960,0.0094
f93456bf-2f7d-48de-bc4e-3f0ccffcebb2,2026-05-19T16:35:22.5121688Z,"QuickSort Híbrido",1000,ReverseSorted,10,42,25,3.3897,500499,764,0.0162
7e3fa1de-c456-424f-ae2b-fa5ee1d28709,2026-05-19T16:35:22.5144415Z,"QuickSort Híbrido Mediana-3",1000,ReverseSorted,10,42,25,0.226,19082,10778,0.0007
0054d011-b061-43ea-8a4a-db214e4b915c,2026-05-19T16:35:25.1801601Z,"QuickSort Híbrido",1000,ReverseSorted,10,42,50,3.4152,500451,1604,0.0347
3df1f343-d1e9-455c-8a5f-0a377c4a6b6a,2026-05-19T16:35:25.1830195Z,"QuickSort Híbrido Mediana-3",1000,ReverseSorted,10,42,50,0.2845,22736,15432,0.0122
a4b7e97a-afc7-4a60-8a8b-371447383574,2026-05-19T16:35:48.8199798Z,"QuickSort Recursivo",1000,ManyDuplicates,10,42,,0.4551,55130,2213,0.0088
dbdb4bd8-ee54-4385-9a13-d83b2112f3ba,2026-05-19T16:35:48.8246219Z,"QuickSort Híbrido",1000,ManyDuplicates,10,42,0,0.4629,56129,2213,0.0018
dec29676-28ac-4db7-940a-381f756ae335,2026-05-19T16:35:48.8308616Z,"QuickSort Híbrido Mediana-3",1000,ManyDuplicates,10,42,0,0.6219,56789,3000,0.2127
106eeb25-eb82-426a-af5b-8f1a6abb6ea0,2026-05-19T16:35:51.4041473Z,"QuickSort Híbrido",1000,ManyDuplicates,10,42,1,0.4658,56129,2213,0.0028
a70f153d-f393-43de-8bf7-eb4d650d55b8,2026-05-19T16:35:51.4089546Z,"QuickSort Híbrido Mediana-3",1000,ManyDuplicates,10,42,1,0.4788,56789,3000,0.0056
bf072ab1-f89a-4273-9f8a-979b9cf22c1f,2026-05-19T16:35:53.6709945Z,"QuickSort Híbrido",1000,ManyDuplicates,10,42,5,0.4623,56069,2213,0.0022
7c3febd9-d8cd-441d-bcd4-f4b691e704f3,2026-05-19T16:35:53.6757555Z,"QuickSort Híbrido Mediana-3",1000,ManyDuplicates,10,42,5,0.4745,56639,2970,0.0047
67e5aaae-c47c-436f-af5b-789ba0563756,2026-05-19T16:35:55.7939993Z,"QuickSort Híbrido",1000,ManyDuplicates,10,42,15,0.455,55219,2213,0.0042
957844d6-e998-47c8-be64-970477974b2c,2026-05-19T16:35:55.7986063Z,"QuickSort Híbrido Mediana-3",1000,ManyDuplicates,10,42,15,0.4594,55489,2870,0.0015
d52e8bcc-3231-46bf-8205-2114c8c23617,2026-05-19T16:35:58.1456599Z,"QuickSort Híbrido",1000,ManyDuplicates,10,42,25,0.457,53369,2213,0.0361
2b7f4c73-fdb2-4dda-b56c-b0bfd20f8d6b,2026-05-19T16:35:58.1500913Z,"QuickSort Híbrido Mediana-3",1000,ManyDuplicates,10,42,25,0.4413,53339,2770,0.0017
5fce8a9a-5502-4e76-b9ed-9f5c1aaf9b2d,2026-05-19T16:36:00.6036931Z,"QuickSort Híbrido",1000,ManyDuplicates,10,42,50,0.3641,44369,2213,0.0029
0c26bb29-84b3-4f7b-9481-9c637704caf3,2026-05-19T16:36:00.6073189Z,"QuickSort Híbrido Mediana-3",1000,ManyDuplicates,10,42,50,0.3614,43589,2520,0.0021
6c574607-b0a3-46a2-9bc7-2f6bb63346dc,2026-05-19T16:36:16.1266772Z,"QuickSort Recursivo",1000,WorstCaseQuickSort,10,42,,3.6152,499500,0,0.0196
cac3cd18-5e41-4686-b0a3-95e4482bb3ba,2026-05-19T16:36:16.1630285Z,"QuickSort Híbrido",1000,WorstCaseQuickSort,10,42,0,3.6323,500499,0,0.0111
af84c624-7560-45d6-b51e-5576e0c622ea,2026-05-19T16:36:16.1639693Z,"QuickSort Híbrido Mediana-3",1000,WorstCaseQuickSort,10,42,0,0.0926,10519,1022,0.0006
b948441f-defc-4492-b777-8e8fc03c105e,2026-05-19T16:36:19.2797407Z,"QuickSort Híbrido",1000,WorstCaseQuickSort,10,42,1,3.6325,500499,0,0.0116
3b08d34d-a5c4-45c8-8881-bc6542390f32,2026-05-19T16:36:19.2807001Z,"QuickSort Híbrido Mediana-3",1000,WorstCaseQuickSort,10,42,1,0.0919,10519,1022,0.0006
44902a76-3a10-47a2-b7db-00e41ad597b0,2026-05-19T16:36:21.4246892Z,"QuickSort Híbrido",1000,WorstCaseQuickSort,10,42,5,3.74,500493,0,0.1176
f6185db0-3634-465e-88bc-e7504cbacb07,2026-05-19T16:36:21.4254245Z,"QuickSort Híbrido Mediana-3",1000,WorstCaseQuickSort,10,42,5,0.0725,9262,510,0.0003
fce4657f-6a32-4e57-80b7-4751fe3cf98a,2026-05-19T16:36:23.9694977Z,"QuickSort Híbrido",1000,WorstCaseQuickSort,10,42,15,3.6236,500408,0,0.0714
27f712bb-7225-45b9-af63-18a032c72ea5,2026-05-19T16:36:23.9700801Z,"QuickSort Híbrido Mediana-3",1000,WorstCaseQuickSort,10,42,15,0.0571,7765,208,0.0003
fe05cb17-c510-4c0c-9090-08cf21d3270f,2026-05-19T16:36:28.5795351Z,"QuickSort Híbrido",1000,WorstCaseQuickSort,10,42,25,3.626,500223,0,0.0073
15569652-5d82-4110-a39e-1220d1fdbe49,2026-05-19T16:36:28.5800650Z,"QuickSort Híbrido Mediana-3",1000,WorstCaseQuickSort,10,42,25,0.0518,7068,126,0.0002
2e7d6865-2bde-4cf5-be48-cbbe9bd93dd6,2026-05-19T16:36:30.6627818Z,"QuickSort Híbrido",1000,WorstCaseQuickSort,10,42,50,3.6239,499323,0,0.0111
ee25341e-3489-4d99-b0b5-28569bf583b5,2026-05-19T16:36:30.6632248Z,"QuickSort Híbrido Mediana-3",1000,WorstCaseQuickSort,10,42,50,0.0432,6035,62,0.0005
